ID_Accidente;A�o;Fecha;Dia;Hopra;Ruta/Autop;km;Participantes;Tipo;Lugar;Total;Heridos Leves;Heridos Graves;Ilesos;Fallecidos;Sin datos;desc_tipo_via;desc_loc;desc_dpto;|;desc_tipo_banquina;desc_unidad_regional;desc_lugar_calzada;desc_zona;desc_prioridad;desc_estado_semaforo;desc_lugar_via;desc_estado_via;desc_estado_visibilidad;desc_luminosidad;desc_estado_clima;desc_tipo_colision;desc_tipo_atropello;desc_tipo_hecho;desc_pres_calzada;desc_senializacion
1;2021;1/1/2021;Viernes;17:15:00;;0.0;2;Automóvil,Pickup/Utilitario;Av. Francia Y Dr. Rivas;2;1;0;1;0;0;S/D;ROSARIO;Rosario;S/D;S/D;II;S/D;S/D;Ninguna;S/D;Intersección;S/D;S/D;S/D;S/D;Múltiple;S/D;Colisión;S/D;S/D
2;2021;1/1/2021;Viernes;22:10:00;Ruta Nacional 11;620.0;1;Moto/Ciclomotor; ;1;1;0;0;0;0;Ruta;GOBERNADOR CRESPO;San Justo;Asfalto;Natural;XVI;S/D;S/D;S/D;No existe;Intersección;S/D;S/D;Con luz artificial;S/D;Múltiple;S/D;Colisión;S/D;S/D
3;2021;1/1/2021;Viernes;06:00:00;;0.0;2;Automóvil,Automóvil;Calle 16 bis Y Calle 5;4;2;0;2;0;0;Avenida;LAS PAREJAS;Belgrano;Asfalto;No existe;III;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
4;2021;1/1/2021;Viernes;03:00:00;;0.0;2;Moto/Ciclomotor,Automóvil;Barrios Y Bv Villa María;2;1;0;0;0;1;Calle;ARMSTRONG;Belgrano;Asfalto;Natural;III;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Reducida;Nocturna,Con luz artificial;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Horizontal
5;2021;1/1/2021;Viernes;02:15:00;Ruta Secundaria 71-s;5.0;1;Moto/Ciclomotor; ;2;2;0;0;0;0;Ruta;SAN GUILLERMO;San CRISTÓBAL;Asfalto;S/D;XIII;Dentro;S/D;Ninguna;S/D;Intersección;Bueno;Reducida;Nocturna;Buen Tiempo;Múltiple;S/D;Colisión;S/D;S/D
6;2021;1/1/2021;Viernes;01:15:00;;0.0;2;Moto/Ciclomotor,Automóvil;Belgrano Y La Rioja;3;1;0;2;0;0;Calle;VILLA GOBERNADOR GÁLVEZ;Rosario;Asfalto;No existe;II;Dentro;Urbana;S/D;No existe;Intersección;Bueno;Buena;Nocturna;S/D;Múltiple;S/D;Colisión;Ninguna;Faltante
7;2021;1/1/2021;Viernes;05:00:00;;0.0;2;Moto/Ciclomotor,Moto/Ciclomotor;Pellegrini Y Liniers;2;2;0;0;0;0;S/D;VILLA GOBERNADOR GÁLVEZ;Rosario;Tierra;No existe;II;S/D;S/D;Ninguna;No existe;Intersección;Deteriorada;Buena;Amanecer;Buen Tiempo;Múltiple;S/D;Colisión;Material Suelto;Faltante
8;2021;1/1/2021;Viernes;03:30:00;;0.0;2;Moto/Ciclomotor,Otros;La Paz Y 9 de Julio;2;1;0;1;0;0;S/D;HELVECIA;Garay;Arena;S/D;VII;S/D;S/D;S/D;No existe;Intersección;S/D;S/D;Nocturna;Buen Tiempo;Múltiple;S/D;Colisión;S/D;S/D
9;2021;1/1/2021;Viernes;06:30:00;Ruta Provincial 1;0.0;1;Moto/Ciclomotor; ;1;1;0;0;0;0;Ruta;HELVECIA;Garay;Asfalto;S/D;VII;S/D;Rural;S/D;S/D;Intersección;Bueno;S/D;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;S/D
10;2021;1/1/2021;Viernes;07:30:00;;0.0;1;Moto/Ciclomotor;Castellanos ;2;2;0;0;0;0;Avenida;HIPATIA;Las Colonias;Asfalto;No existe;XI;Dentro;Urbana;Ninguna;No existe;Intersección;Bueno;Buena;Diurna;Buen Tiempo;Múltiple;S/D;Colisión;Ninguna;Faltante
